Date,Location,Classification,Count
12/23/2021,Bronx,Cases,5375
12/24/2021,Bronx,Cases,2947
12/25/2021,Bronx,Cases,1419
12/26/2021,Bronx,Cases,3720
12/27/2021,Bronx,Cases,9815
12/28/2021,Bronx,Cases,9861
12/29/2021,Bronx,Cases,10125
12/30/2021,Bronx,Cases,9351
12/31/2021,Bronx,Cases,5138
01/01/2022,Bronx,Cases,1990
01/02/2022,Bronx,Cases,4918
01/03/2022,Bronx,Cases,10561
01/04/2022,Bronx,Cases,10276
01/05/2022,Bronx,Cases,7965
01/06/2022,Bronx,Cases,6986
01/07/2022,Bronx,Cases,4232
01/08/2022,Bronx,Cases,2701
01/09/2022,Bronx,Cases,1859
01/10/2022,Bronx,Cases,4505
01/11/2022,Bronx,Cases,3356
01/12/2022,Bronx,Cases,3012
01/13/2022,Bronx,Cases,2506
01/14/2022,Bronx,Cases,2205
01/15/2022,Bronx,Cases,887
01/16/2022,Bronx,Cases,789
01/17/2022,Bronx,Cases,1187
01/18/2022,Bronx,Cases,1616
01/19/2022,Bronx,Cases,1252
01/20/2022,Bronx,Cases,952
01/21/2022,Bronx,Cases,766
01/22/2022,Bronx,Cases,465
01/23/2022,Bronx,Cases,351
01/24/2022,Bronx,Cases,817
01/25/2022,Bronx,Cases,582
01/26/2022,Bronx,Cases,517
01/27/2022,Bronx,Cases,443
01/28/2022,Bronx,Cases,307
01/29/2022,Bronx,Cases,69
01/30/2022,Bronx,Cases,138
01/31/2022,Bronx,Cases,638
02/01/2022,Bronx,Cases,282
02/02/2022,Bronx,Cases,263
02/03/2022,Bronx,Cases,253
02/04/2022,Bronx,Cases,176
02/05/2022,Bronx,Cases,117
02/06/2022,Bronx,Cases,70
02/07/2022,Bronx,Cases,190
02/08/2022,Bronx,Cases,196
02/09/2022,Bronx,Cases,158
02/10/2022,Bronx,Cases,128
02/11/2022,Bronx,Cases,133
02/12/2022,Bronx,Cases,67
02/13/2022,Bronx,Cases,55
02/14/2022,Bronx,Cases,96
02/15/2022,Bronx,Cases,91
02/16/2022,Bronx,Cases,89
02/17/2022,Bronx,Cases,81
02/18/2022,Bronx,Cases,70
02/19/2022,Bronx,Cases,40
02/20/2022,Bronx,Cases,45
02/21/2022,Bronx,Cases,47
02/22/2022,Bronx,Cases,67
02/23/2022,Bronx,Cases,68
02/24/2022,Bronx,Cases,77
02/25/2022,Bronx,Cases,32
02/26/2022,Bronx,Cases,32
02/27/2022,Bronx,Cases,27
02/28/2022,Bronx,Cases,57
03/01/2022,Bronx,Cases,56
03/02/2022,Bronx,Cases,47
03/03/2022,Bronx,Cases,51
03/04/2022,Bronx,Cases,45
03/05/2022,Bronx,Cases,29
03/06/2022,Bronx,Cases,23
03/07/2022,Bronx,Cases,38
03/08/2022,Bronx,Cases,52
03/09/2022,Bronx,Cases,42
03/10/2022,Bronx,Cases,49
03/11/2022,Bronx,Cases,59
03/12/2022,Bronx,Cases,21
03/13/2022,Bronx,Cases,35
03/14/2022,Bronx,Cases,69
03/15/2022,Bronx,Cases,61
03/16/2022,Bronx,Cases,70
03/17/2022,Bronx,Cases,66
03/18/2022,Bronx,Cases,63
03/19/2022,Bronx,Cases,26
03/20/2022,Bronx,Cases,28
03/21/2022,Bronx,Cases,105
03/22/2022,Bronx,Cases,92
03/23/2022,Bronx,Cases,85
03/24/2022,Bronx,Cases,104
03/25/2022,Bronx,Cases,94
03/26/2022,Bronx,Cases,49
03/27/2022,Bronx,Cases,48
03/28/2022,Bronx,Cases,124
03/29/2022,Bronx,Cases,110
03/30/2022,Bronx,Cases,119
03/31/2022,Bronx,Cases,97
04/01/2022,Bronx,Cases,112
04/02/2022,Bronx,Cases,70
04/03/2022,Bronx,Cases,54
04/04/2022,Bronx,Cases,187
04/05/2022,Bronx,Cases,149
04/06/2022,Bronx,Cases,149
04/07/2022,Bronx,Cases,144
